house car land income mate class
2 1 1 53007 1 1
3 1 2 -14159 1 1
0 0 4 48125 1 1
3 0 2 49232 0 1
3 2 0 53472 0 1
2 4 1 16996 1 0
3 4 4 -2153 0 2
2 2 3 -6865 1 0
4 3 4 75116 1 3
4 3 0 -23163 1 3
0 3 1 74986 1 1
1 0 3 26275 1 0
4 4 1 93298 1 3
2 0 2 29268 0 0
4 2 3 -10527 0 2
1 4 2 10092 1 0
3 3 4 30861 1 3
3 3 1 12401 0 2
3 4 2 -43619 1 3
1 4 0 80725 1 1
2 2 4 54418 0 0
4 2 0 45848 1 1
0 2 4 -10613 1 0
0 4 4 1779 1 0
4 1 1 18648 1 1
4 2 0 46905 1 1
3 2 1 57742 0 1
3 1 1 -14441 0 1
1 4 0 -8928 0 0
1 0 4 66946 1 1
2 3 1 -14955 1 0
0 2 3 -35398 0 0
1 3 0 85743 1 1
1 4 4 12859 1 0
2 0 4 89721 1 1
0 2 1 98454 0 0
3 3 4 -22656 0 2
2 4 2 -33280 1 0
3 0 4 13078 1 3
3 4 2 -16528 1 3
0 0 1 -7187 0 0
0 0 1 62773 0 0
2 3 0 68294 0 0
0 0 2 -18218 0 0
2 4 2 2578 0 0
2 3 2 54879 1 1
4 2 1 69105 0 1
3 0 1 10668 0 1
1 4 2 31470 0 0
0 2 3 73716 0 0
1 2 1 94095 0 0
4 4 1 55826 1 3
4 3 3 21985 0 2
0 0 0 12383 0 0
3 0 3 75842 0 2
1 0 1 83527 1 1
3 1 0 456 1 1
0 4 4 -41739 1 0
3 0 0 -15846 1 1
1 0 4 91437 0 0
2 1 1 79673 0 0
1 2 0 76751 1 1
0 0 3 -638 0 0
1 2 2 12937 0 0
1 1 2 51021 1 1
0 0 0 24705 0 0
4 0 1 89251 1 1
1 1 4 19726 0 0
4 4 3 41376 0 2
0 2 0 -37827 0 0
3 3 4 90685 1 3
1 3 4 93431 1 1
0 0 1 39773 0 0
2 4 4 37594 1 0
1 0 1 19263 0 0
4 2 2 52672 0 1
3 2 0 -11111 1 1
0 4 2 73314 1 1
4 1 1 -45472 0 1
0 2 0 34106 0 0
4 0 4 7428 1 3
3 2 4 -18671 1 3
1 2 0 74428 1 1
0 4 0 65809 1 1
4 2 3 27421 0 2
2 3 2 70783 1 1
0 1 4 80054 1 1
3 3 3 -10761 0 2
3 1 1 72611 0 1
1 2 1 -32708 1 0
0 4 4 76605 1 1
1 1 1 35536 0 0
4 2 0 53659 1 1
4 0 2 44015 0 1
2 0 1 -35041 1 0
3 3 2 98128 1 3
0 0 2 -20155 1 0
2 3 3 7533 1 0
0 3 3 97974 0 0
0 1 2 -7462 1 0
2 1 4 93347 0 0
0 1 3 -3076 0 0
1 1 4 61224 1 1
3 2 2 96960 1 1
0 1 3 14839 1 0
4 1 2 61184 0 1
3 4 3 55741 0 2
1 2 0 1967 0 0
4 2 0 28534 1 1
0 1 2 86595 1 1
0 0 1 38116 1 0
0 2 3 -6615 0 0
4 2 4 -29693 0 2
2 4 4 -18557 1 0
1 3 4 22977 1 0
0 3 4 47261 1 1
3 4 3 61420 0 2
2 4 1 49304 1 1
4 4 2 54741 1 3
1 3 2 55026 0 0
2 2 3 82103 1 1
0 0 0 -45827 0 0
4 1 1 -11890 0 1
3 4 0 25406 1 3
4 3 0 91578 0 2
3 1 0 64743 0 1
3 0 3 83201 0 2
2 3 2 -44741 0 0
4 4 2 6551 1 3
1 4 3 66472 1 1
4 4 4 7593 1 3
2 0 0 10641 0 0
3 1 2 -5893 1 1
1 0 2 68256 1 1
0 4 2 -10281 0 0
0 0 2 71152 0 0
1 1 3 -41518 1 0
0 0 3 38777 0 0
1 1 1 21726 1 0
1 2 3 -4013 0 0
1 2 1 58584 0 0
2 1 2 67248 1 1
0 3 3 47019 0 0
3 4 2 63547 1 3
2 0 4 60954 0 0
4 2 1 -5706 0 1
1 2 4 -33067 1 0
4 1 4 -21685 1 3
0 2 0 29302 1 0
1 1 2 73751 0 0
4 0 1 91238 0 1
0 3 4 24278 1 0
2 0 2 13616 1 0
4 2 1 92533 1 1
0 0 0 -14792 1 0
4 1 3 -4925 0 2
3 3 3 -26798 0 2
4 1 2 -24704 0 1
2 4 2 -42888 1 0
3 1 3 -12845 1 3
1 3 2 -10676 0 0
2 0 2 42536 1 1
1 2 3 2755 0 0
4 3 0 -7465 0 2
4 3 3 -26550 0 2
0 2 4 82247 1 1
2 3 4 59603 0 0
1 3 0 82938 1 1
0 4 0 -30074 1 0
4 0 4 20230 1 3
4 2 2 -18774 1 1
0 0 0 59662 0 0
2 1 0 63943 1 1
4 3 0 16036 0 2
3 2 0 48924 1 1
2 2 3 -36121 0 0
0 1 2 22597 1 0
2 4 0 73959 1 1
4 3 1 -40490 0 2
1 2 0 71812 0 0
1 0 3 37651 0 0
2 4 1 -25770 1 0
4 3 1 39393 0 2
1 3 4 86086 1 1
1 2 4 81674 0 0
0 4 4 53947 0 0
3 1 3 90051 0 2
4 3 2 46930 1 3
3 3 0 71458 0 2
0 3 1 16202 0 0
4 0 0 -8575 1 1
2 2 0 -10077 0 0
0 1 0 17767 1 0
0 1 0 82487 1 1
0 3 1 70889 0 0
1 0 0 95351 1 1
2 3 0 37227 1 0
4 3 4 -27326 0 2
0 4 1 39285 0 0
3 1 1 39278 1 1
0 4 0 74412 1 1
1 2 1 36223 1 0
2 0 3 38746 0 0
0 3 2 95543 1 1
0 4 1 10147 1 0
0 3 3 -24171 0 0
1 1 0 70372 0 0
0 3 2 -36391 0 0
4 2 1 71795 0 1
1 4 4 -14241 1 0
0 1 1 50284 0 0
2 0 3 -26687 1 0
2 4 3 33138 1 0
3 2 1 36582 0 1
4 2 1 44576 0 1
4 4 3 -41054 0 2
3 0 3 96630 1 3
4 0 3 -3097 0 2
3 2 1 17646 0 1
3 0 3 47355 0 2
0 0 1 30913 0 0
1 1 2 52677 1 1
3 0 3 72557 1 3
2 1 0 85670 1 1
3 2 0 22488 1 1
4 4 4 -38894 1 3
0 1 4 -36267 1 0
4 2 1 -18318 1 1
0 4 1 81317 1 1
2 0 0 78732 1 1
1 3 0 71914 0 0
1 2 2 -43367 0 0
1 3 3 6472 0 0
1 2 1 -30915 1 0
2 1 0 -19854 0 0
2 4 3 2273 1 0
1 1 1 -39855 1 0
3 0 4 -19047 0 2
0 3 4 -2212 1 0
2 3 4 57429 0 0
2 0 0 -21557 0 0
0 3 3 -33755 1 0
4 2 2 33550 1 1
4 0 4 -1129 1 3
3 4 1 4084 0 2
1 2 3 87249 0 0
2 2 0 93868 1 1
0 3 1 3657 0 0
2 1 3 97350 0 0
0 0 1 -5608 1 0
2 1 4 13545 1 0
0 1 4 83904 0 0
4 2 1 83333 1 1
1 1 4 -45995 0 0
4 3 0 -9222 1 3
4 0 3 67104 1 3
0 0 3 97615 0 0
4 3 2 -5943 1 3
2 1 0 83949 0 0
1 0 4 23342 1 0
0 2 1 55413 1 1
2 4 0 33429 1 0
0 1 0 63823 1 1
0 4 3 -29040 0 0
4 3 3 -36735 1 3
3 3 1 -1602 0 2
0 2 4 -10023 0 0
0 0 4 36609 0 0
3 4 2 90462 1 3
4 0 0 84760 0 1
0 0 4 -15656 1 0
1 4 3 -38837 1 0
3 2 1 22873 1 1
2 0 4 65747 0 0
1 0 0 69900 0 0
1 0 4 30924 1 0
2 0 0 81559 1 1
1 2 3 98454 1 1
2 4 0 -39863 0 0
4 0 4 70613 0 2
0 4 1 -8187 0 0
1 4 0 4365 0 0
1 2 2 -30373 0 0
4 2 1 -8942 0 1
0 2 3 -31893 0 0
2 3 3 26718 1 0
4 1 2 -19008 0 1
4 3 1 28651 1 3
0 0 2 14798 1 0
1 2 0 -24534 0 0
2 0 4 60505 1 1
4 3 4 -2316 0 2
0 3 2 5160 0 0
4 3 3 27308 1 3
3 1 4 -7165 0 2
3 3 4 89568 1 3
1 4 3 99979 0 0
1 1 2 68541 0 0
0 4 3 26159 0 0
1 1 3 38398 0 0
3 4 4 94414 1 3
3 4 3 -23968 1 3
3 4 4 -12840 1 3
4 4 3 -12882 0 2
3 4 0 96377 1 3
0 1 2 15610 1 0
2 0 4 84234 0 0
1 4 0 -32977 0 0
4 1 2 -14493 1 1
0 1 3 -22295 1 0
0 3 3 15266 0 0
1 4 2 -22504 0 0
2 4 3 -28908 1 0
1 2 2 2716 1 0
2 3 1 -26465 0 0
4 2 0 -31298 0 1
3 0 2 -14583 0 1
1 3 1 17232 0 0
3 1 4 77733 0 2
4 1 0 63889 1 1
2 3 2 61877 1 1
4 0 4 57931 1 3
2 3 0 2046 1 0
3 3 2 8867 0 2
4 1 1 88875 0 1
2 3 0 -45377 0 0
0 4 0 50295 1 1
3 0 0 -11148 0 1
2 4 4 65992 0 0
3 3 3 -17372 0 2
0 4 3 -6913 0 0
0 2 1 40274 1 1
2 4 0 -49865 0 0
0 3 0 -49492 1 0
3 2 4 -47786 0 2
2 3 2 98601 0 0
1 4 3 -11467 1 0
4 3 2 77402 1 3
2 3 3 46081 1 1
1 4 0 8001 1 0
2 2 1 50980 0 0
3 1 3 18133 0 2
1 0 3 75037 1 1
3 3 2 -32560 1 3
4 1 0 87245 0 1
1 4 4 16666 0 0
2 4 2 -20624 1 0
3 1 4 -28420 1 3
3 2 0 -23621 1 1
1 0 3 -21473 0 0
4 4 0 -27254 0 2
4 2 4 72189 1 3
0 3 2 62974 0 0
0 2 1 -23736 1 0
3 0 1 -32418 0 1
2 2 0 90926 0 0
3 4 3 52462 0 2
1 1 3 -41578 1 0
2 2 0 55988 1 1
3 2 4 7701 1 3
